0xfffffff005c78000: Mach Kernel Pseudoextension (com.apple.kpi.mach)
0xfffffff005c78080: Private Pseudoextension (com.apple.kpi.private)
0xfffffff005c78100: Unsupported Pseudoextension (com.apple.kpi.unsupported)
0xfffffff005c78180: I/O Kit Pseudoextension (com.apple.kpi.iokit)
0xfffffff005c78200: Libkern Pseudoextension (com.apple.kpi.libkern)
0xfffffff005c78280: BSD Kernel Pseudoextension (com.apple.kpi.bsd)
0xfffffff005c78300: I/O Kit Networking Family (com.apple.iokit.IONetworkingFamily)
0xfffffff005c79e00: IOTimeSyncFamily (com.apple.iokit.IOTimeSyncFamily)
0xfffffff005c7d6c0: corecapture (com.apple.driver.corecapture)
0xfffffff005c80bc0: corecrypto (com.apple.kec.corecrypto)
0xfffffff005c98f00: IOImageLoader driver (com.apple.driver.IOImageLoader)
0xfffffff005c9b080: AppleBCMWLANFirmware_Hashstore (com.apple.driver.AppleBCMWLANFirmware.Hashstore)
0xfffffff005ca9e00: IOSlowAdaptiveClockingFamily (com.apple.iokit.IOSlowAdaptiveClockingFamily)
0xfffffff005caa380: I/O Kit Storage Family (com.apple.iokit.IOStorageFamily)
0xfffffff005cab5c0: IOReportFamily (com.apple.iokit.IOReportFamily)
0xfffffff005cabdc0: AppleARMPlatform (com.apple.driver.AppleARMPlatform)
0xfffffff005cb5600: AppleSamsungSPI (com.apple.driver.AppleSamsungSPI)
0xfffffff005cb6580: MAC Framework Pseudoextension (com.apple.kpi.dsep)
0xfffffff005cb6600: CoreTrust (com.apple.kext.CoreTrust)
0xfffffff005cb73c0: AppleMobileFileIntegrity (com.apple.driver.AppleMobileFileIntegrity)
0xfffffff005cbac80: IOHIDFamily (com.apple.iokit.IOHIDFamily)
0xfffffff005cbc800: AppleEmbeddedLightSensor (com.apple.driver.AppleEmbeddedLightSensor)
0xfffffff005cc0240: AppleS5L8920XPWM (com.apple.driver.AppleS5L8920XPWM)
0xfffffff005cc07c0: AppleEmbeddedTempSensor (com.apple.driver.AppleEmbeddedTempSensor)
0xfffffff005cc4080: AppleUSBCommon (com.apple.driver.usb.AppleUSBCommon)
0xfffffff005cc4ac0: I/O Kit Driver for USB Devices (com.apple.driver.AppleUSBHostMergeProperties)
0xfffffff005cc5080: IOUSBDeviceFamily (com.apple.iokit.IOUSBDeviceFamily)
0xfffffff005cc9600: IOKit Serial Port Family (com.apple.iokit.IOSerialFamily)
0xfffffff005cc9f40: IOSkywalkFamily (com.apple.iokit.IOSkywalkFamily)
0xfffffff005ccb840: AppleOnboardSerial (com.apple.driver.AppleOnboardSerial)
0xfffffff005ccd700: IOAccessoryManager (com.apple.iokit.IOAccessoryManager)
0xfffffff005cd39c0: AppleARMPMU (com.apple.driver.AppleARMPMU)
0xfffffff005cd6800: AppleSN2400Charger (com.apple.driver.AppleSN2400Charger)
0xfffffff005cd77c0: IOSurface (com.apple.iokit.IOSurface)
0xfffffff005cdd340: IODARTFamily (com.apple.driver.IODARTFamily)
0xfffffff005cdf500: Apple M2 Scaler and Color Space Converter Driver (com.apple.driver.AppleM2ScalerCSCDriver)
0xfffffff005d0e6c0: IOHDCPFamily (com.apple.iokit.IOHDCPFamily)
0xfffffff005d13940: Libm.kext (com.apple.kec.Libm)
0xfffffff005d19e00: IOAudio2Family (com.apple.iokit.IOAudio2Family)
0xfffffff005d1a680: IOCECFamily (com.apple.iokit.IOCECFamily)
0xfffffff005d1b000: IOAVFamily (com.apple.iokit.IOAVFamily)
0xfffffff005d31b00: AUC (com.apple.AUC)
0xfffffff005d33180: IOMobileGraphicsFamily (com.apple.iokit.IOMobileGraphicsFamily)
0xfffffff005d39900: AppleH8ADBE0 (com.apple.driver.AppleH8ADBE0)
0xfffffff005d4b580: H264 Video Encoder (com.apple.driver.AppleAVEH8)
0xfffffff005dc8e00: AppleFirmwareUpdateKext (com.apple.driver.AppleFirmwareUpdateKext)
0xfffffff005dcbbc0: ApplePMGR (com.apple.driver.ApplePMGR)
0xfffffff005dddf00: AppleS8000PMGR (com.apple.driver.AppleS8000PMGR)
0xfffffff005ddfb40: AppleIPAppender (com.apple.driver.AppleIPAppender)
0xfffffff005de0680: AppleMultitouchSPI (com.apple.driver.AppleMultitouchSPI)
0xfffffff005de4d40: I/O Kit PCI Family (com.apple.iokit.IOPCIFamily)
0xfffffff005de7180: AppleEmbeddedPCIE (com.apple.driver.AppleEmbeddedPCIE)
0xfffffff005ded640: AppleS800xPCIe (com.apple.driver.AppleS800xPCIe)
0xfffffff005defcc0: AppleS8000PCIe (com.apple.driver.AppleS8000PCIe)
0xfffffff005df0a40: AppleBiometricSensor (com.apple.driver.AppleBiometricSensor)
0xfffffff005df7080: ProvInfoIOKit (com.apple.driver.ProvInfoIOKit)
0xfffffff005dfb480: IOKit USB host family (com.apple.iokit.IOUSBHostFamily)
0xfffffff005e0c140: USB Packet Filter (com.apple.driver.usb.AppleUSBHostPacketFilter)
0xfffffff005e0ca00: AppleS5L8960XDART (com.apple.driver.AppleS5L8960XDART)
0xfffffff005e0e180: AppleDiskImageDriver (com.apple.driver.DiskImages)
0xfffffff005e0f000: AppleDiskImagesKernelBacked (com.apple.driver.DiskImages.KernelBacked)
0xfffffff005e0f7c0: AppleDiskImagesRAMBackingStore (com.apple.driver.DiskImages.RAMBackingStore)
0xfffffff005e0fd80: AppleJPEGDriver (com.apple.driver.AppleJPEGDriver)
0xfffffff005e158c0: AppleARMIISAudio (com.apple.iokit.AppleARMIISAudio)
0xfffffff005e16840: AppleEmbeddedAudio (com.apple.driver.AppleEmbeddedAudio)
0xfffffff005e1d4c0: AppleCSEmbeddedAudio (com.apple.driver.AppleCSEmbeddedAudio)
0xfffffff005e1e100: IOMikeyBusFamily (com.apple.iokit.IOMikeyBusFamily)
