Syscalls at address 0xfffffff00707fa10
Sysent offset in file (for patching purposes):  7ba10
Suppressing enosys (fffffff0074473d4) and old (fffffff0074473b4)
1.. exit                 0xfffffff007417794
2.. fork                 0xfffffff00741ce08
3.. read                 0xfffffff00744751c
4.. write                0xfffffff007447bc8
5.. open                 0xfffffff0071f6400
6.. close                0xfffffff0073fb684
7.. wait4                0xfffffff00741a3cc
9.. link                 0xfffffff0071f7730
10.. unlink               0xfffffff0071f8aac
12.. chdir                0xfffffff0071f54f8
13.. fchdir               0xfffffff0071f5210
14.. mknod                0xfffffff0071f6f1c
15.. chmod                0xfffffff0071fb2c0
16.. chown                0xfffffff0071fb62c
18.. getfsstat            0xfffffff0071f4aac
20.. getpid               0xfffffff00742496c
23.. setuid               0xfffffff007424fc8
24.. getuid               0xfffffff007424a64
25.. geteuid              0xfffffff007424ac0
26.. ptrace               0xfffffff007441e2c
27.. recvmsg              0xfffffff007489760
28.. sendmsg              0xfffffff007488754
29.. recvfrom             0xfffffff007489164
30.. accept               0xfffffff007487308
31.. getpeername          0xfffffff00748a920
32.. getsockname          0xfffffff00748a7e0
33.. access               0xfffffff0071f9c34
34.. chflags              0xfffffff0071fab8c
35.. fchflags             0xfffffff0071fadf4
36.. sync                 0xfffffff0071f3b94
37.. kill                 0xfffffff00742ce80
39.. getppid              0xfffffff00742497c
41.. dup                  0xfffffff0073f6c40
42.. pipe                 0xfffffff00744cb68
43.. getegid              0xfffffff007424c78
46.. sigaction            0xfffffff00742ab1c
47.. getgid               0xfffffff007424c1c
48.. sigprocmask          0xfffffff00742b184
49.. getlogin             0xfffffff007426c20
50.. setlogin             0xfffffff007426d54
51.. acct                 0xfffffff0073ef24c
52.. sigpending           0xfffffff00742b528
53.. sigaltstack          0xfffffff00742cd20
54.. ioctl                0xfffffff0074485f4
55.. reboot               0xfffffff00744108c
56.. revoke               0xfffffff0071ff4cc
57.. symlink              0xfffffff0071f7dfc
58.. readlink             0xfffffff0071fa868
59.. execve               0xfffffff007416580
60.. umask                0xfffffff0071ff474
61.. chroot               0xfffffff0071f57e8
65.. msync                0xfffffff00741e4fc
66.. vfork                0xfffffff00741b9e8
73.. munmap               0xfffffff00741e688
74.. mprotect             0xfffffff00741e730
75.. madvise              0xfffffff00741e890
78.. mincore              0xfffffff00741e97c
79.. getgroups            0xfffffff007424cd4
80.. setgroups            0xfffffff007426bb8
81.. getpgrp              0xfffffff00742498c
82.. setpgid              0xfffffff007424de8
83.. setitimer            0xfffffff007440320
85.. swapon               0xfffffff0074a2650
86.. getitimer            0xfffffff00744004c
89.. getdtablesize        0xfffffff0073f66c8
90.. dup2                 0xfffffff0073f7478
92.. fcntl                0xfffffff0073f855c
93.. select               0xfffffff007448dbc
95.. fsync                0xfffffff0071fc364
96.. setpriority          0xfffffff007427444
97.. socket               0xfffffff007485c78
98.. connect              0xfffffff00748733c
100.. getpriority          0xfffffff007426ea0
104.. bind                 0xfffffff007486178
105.. setsockopt           0xfffffff00748a294
106.. listen               0xfffffff0074865b8
111.. sigsuspend           0xfffffff00742b568
116.. gettimeofday         0xfffffff00743fb9c
117.. getrusage            0xfffffff007428910
118.. getsockopt           0xfffffff00748a524
120.. readv                0xfffffff0074479a4
121.. writev               0xfffffff0074481d8
122.. settimeofday         0xfffffff00743fdc8
123.. fchown               0xfffffff0071fb924
124.. fchmod               0xfffffff0071fb5bc
126.. setreuid             0xfffffff007425918
127.. setregid             0xfffffff007426248
128.. rename               0xfffffff0071fd1fc
131.. flock                0xfffffff0073fdf04
132.. mkfifo               0xfffffff0071f7528
133.. sendto               0xfffffff00748809c
134.. shutdown             0xfffffff00748a234
135.. socketpair           0xfffffff007487da4
136.. mkdir                0xfffffff0071feaf0
137.. rmdir                0xfffffff0071fec00
138.. utimes               0xfffffff0071fbb04
139.. futimes              0xfffffff0071fbee0
140.. adjtime              0xfffffff0074a6a30
142.. gethostuuid          0xfffffff00744bc14
147.. setsid               0xfffffff007424d7c
151.. getpgid              0xfffffff00742499c
152.. setprivexec          0xfffffff00742494c
153.. pread                0xfffffff0074478ac
154.. pwrite               0xfffffff007447ff4
157.. statfs               0xfffffff0071f4174
158.. fstatfs              0xfffffff0071f45ec
159.. unmount              0xfffffff0071f2f50
165.. quotactl             0xfffffff0071f3e28
167.. mount                0xfffffff0071f2a1c
169.. csops                0xfffffff0074234b4
170.. csops_audittoken     0xfffffff007423f6c
173.. waitid               0xfffffff00741a8d8
177.. kdebug_typefilter    0xfffffff0073ebf44
178.. kdebug_trace_string  0xfffffff0073ec568
179.. kdebug_trace64       0xfffffff0073ec0e4
180.. kdebug_trace         0xfffffff0073ec07c
181.. setgid               0xfffffff007425ce4
182.. setegid              0xfffffff007425fb0
183.. seteuid              0xfffffff00742567c
184.. sigreturn            0xfffffff0074f0d98
186.. thread_selfcounts    0xfffffff0071c91ac
187.. fdatasync            0xfffffff0071fc4bc
